88.78	-11.93	89.35	0.00
90.26	-11.93	89.35	1.00
90.26	-12.25	89.35	1.00
93.97	-12.25	89.03	1.00
93.22	-12.58	89.35	1.00
37.37	-12.90	89.46	0.00
31.81	-13.54	89.35	0.00
32.43	-12.58	89.03	0.00
32.43	-13.87	89.35	0.00
31.20	-13.54	89.24	0.00
33.04	37.37	-15.16	14.60	24.19	90.10	1.00
34.27	24.19	89.89	1.00
4.41	24.51	90.53	1.00
6.08	24.83	89.89	1.00
6.08	24.83	89.03	1.00
8.33	25.16	88.70	1.00
10.59	25.16	88.49	0.00
11.16	24.83	88.60	0.00
10.59	23.54	88.27	0.00
10.59	24.83	88.60	0.00
11.73	24.83	88.38	0.00
11.16	23.54	88.81	0.00
11.73	24.83	89.24	0.00
11.73	24.83	89.35	0.00
11.73	24.83	89.13	0.00
11.73	24.51	89.24	0.00
12.30	24.51	89.24	0.00
12.88	24.83	89.13	0.00
13.45	24.51	89.35	0.00
14.02	24.51	89.24	0.00
14.02	24.51	89.35	0.00
13.45	24.51	89.35	0.00
15.18	24.83	89.35	0.00
15.18	24.83	89.46	0.00
15.18	24.51	89.46	0.00
16.33	24.83	89.24	0.00
16.33	24.51	89.46	0.00
16.91	24.51	89.67	0.00
16.33	24.19	89.56	0.00
16.91	24.83	89.56	0.00
16.33	24.83	89.35	0.00
16.33	24.51	89.46	0.00
16.33	24.19	89.35	0.00
16.91	24.51	89.56	0.00
16.91	24.51	89.35	0.00
18.66	24.83	89.35	0.00
19.25	24.83	89.56	0.00
19.25	24.83	89.67	0.00
19.25	24.51	89.46	0.00
19.25	24.83	89.56	0.00
18.08	24.51	89.89	0.00
19.83	25.16	89.89	0.00
18.08	24.51	89.67	0.00
21.01	24.83	89.99	0.00
18.66	24.51	89.35	0.00
21.60	24.51	89.67	0.00
21.60	24.83	89.67	0.00
19.25	24.51	89.46	0.00
20.42	24.51	89.89	0.00
22.19	24.51	89.46	0.00
22.78	24.51	89.67	0.00
22.78	24.51	89.56	0.00
23.38	24.51	89.46	0.00
22.78	24.51	89.67	0.00
21.01	24.83	89.89	0.00
23.38	24.83	89.89	0.00
21.01	24.51	89.35	0.00
23.97	24.19	89.78	0.00
21.60	24.83	89.99	0.00
23.38	24.51	89.67	0.00
22.19	24.83	89.56	0.00
25.16	24.51	89.67	0.00
23.97	24.83	89.35	0.00
25.16	24.51	89.56	0.00
25.76	24.83	89.56	1.00
24.57	24.51	89.89	0.00
24.57	24.51	89.89	0.00
23.97	24.51	89.35	0.00
128.55	24.51	89.89	0.00
142.05	24.51	89.67	0.00
152.53	24.51	89.56	0.00
164.24	24.19	89.78	0.00
175.40	25.16	89.56	0.00
187.88	24.83	89.46	0.00
201.80	24.83	89.35	0.00
217.31	24.83	89.24	0.00
235.66	24.51	89.03	0.00
256.06	24.51	89.24	0.00
281.23	24.51	89.46	0.00
306.68	24.83	89.35	0.00
337.93	24.51	89.13	0.00
376.07	24.83	89.24	0.00
409.34	24.51	88.92	0.00
452.15	24.83	88.81	0.00
502.85	24.83	88.81	0.00
563.29	24.51	89.13	0.00
638.49	24.51	89.13	0.00
721.61	24.51	89.13	0.00
820.43	24.51	89.13	0.00
943.62	24.83	88.81	0.00
1100.52	24.83	88.92	0.00
1282.05	24.51	88.92	0.00
1464.31	24.51	89.24	0.00
1634.94	24.83	89.13	0.00
1847.05	24.83	88.81	0.00
2155.07	24.51	89.03	0.00
2455.15	24.51	89.13	0.00
2790.17	24.51	89.35	0.00
3136.00	24.51	89.13	0.00
3532.00	24.83	89.35	0.00
4097.56	24.51	89.13	0.00
4794.01	24.83	88.92	0.00
5600.00	24.83	89.35	0.00
6691.64	24.51	89.35	0.00
7990.44	24.51	89.24	0.00
